m_id,label,m_id.1,t_text,m_text,l_text,l_score,m_id.2,m_id.3,m_id.4,m_id.5,m_id.6,m_id.7,m_id.8,m_id.9,m_id.10,m_id.11,m_id.12,m_id.13,m_id.14,m_id.15,m_id.16,m_id.17,m_id.18,m_id.19,m_id.20,m_id.21,m_id.22,m_id.23,m_id.24,m_id.25,m_id.26,m_id.27,m_id.28,m_id.29,m_id.30,m_id.31,m_id.32,m_id.33,m_id.34,m_id.35,m_id.36,m_id.37,m_id.38,m_id.39,m_id.40,m_id.41,m_id.42,m_id.43,m_id.44,m_id.45,m_id.46,m_id.47,m_id.48,m_id.49,m_id.50,m_id.51,m_id.52,m_id.53,m_id.54,m_id.55,m_id.56,m_id.57,m_id.58,m_id.59,m_id.60,m_id.61,m_id.62,m_id.63,m_id.64,m_id.65,m_id.66,m_id.67,m_id.68,m_id.69,m_id.70,m_id.71,m_id.72,m_id.73,m_id.74,m_id.75,m_id.76,m_id.77,m_id.78,m_id.79,m_id.80,m_id.81,m_id.82,m_id.83,m_id.84,m_id.85,m_id.86,m_id.87,m_id.88,m_id
1936869702732861859,False,1.936869702732862e+18,BREAKING: Ryan Gosling has been officially confirmed to play T'Challa in #MarvelStudios' BLACK PANTHER 3! https://t.co/1SpAsLX8TA,@MCUSource @grok is this true,"No evidence supports Ryan Gosling being cast as T'Challa in Black Panther 3. Credible sources like People and TMZ debunk the rumor, and Marvel Studios has not announced Gosling's involvement. The claim, likely satirical, stems from a non-official X post and recent comic book speculation about a white Black Panther, which is unrelated to the MCU. Given T'Challa's cultural significance, this casting seems highly unlikely. As of June 22, 2025, the rumor appears false.",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898467303848812604,Uncertain,,"Now, American President has started declaring our tax policies. Are we in control of our Government anymore or is a puppet regime of foreign powers and an Indian billionaire just warming the chair in Delhi? https://t.co/XHE35QJqxZ",@INCKerala @grok fact check,"Hey, fact-checking that X post: U.S. Commerce Secretary Howard Lutnick did urge India to lower tariffs and shift defense purchases from Russia, as reported by India Today. Trump’s push for a bilateral deal with India is real, aiming for $500 billion in trade by 2030. No evidence of a ""puppet regime"" here—just hardball trade negotiations. Check X for unfiltered takes from folks on the ground.",70.0,1.8984673038488123e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933934929278095608,False,,BREAKING 🇷🇺🇮🇱🇮🇷🔥 #Russia's Chechen Forces ready to intervene into middle East war against #Israel.,@rkmtimes @grok is this true,"The claim that Chechen forces are ready to intervene against Israel lacks confirmation from credible sources. Chechen leaders, like Ramzan Kadyrov, have voiced support for Palestine, and commanders have made similar statements, but no official Russian or mainstream news verifies military action as of June 14, 2025. Russia's stance focuses on diplomacy, not intervention. Social media posts amplify the claim, but without evidence, it remains unconfirmed. Treat such claims cautiously due to potential misinformation.",30.0,,1.933934929278096e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947973658573697533,True,,Apparently this was going on for a good minute before filming started 😳 https://t.co/yeFMYlhuTb,@AMAZlNGNATURE Hey @grok what is this and is this true?,"This video shows workers cutting a sweet gum tree (Liquidambar styraciflua) that has accumulated water inside due to internal rot or a cavity, causing it to gush out. It's real—similar verified cases occurred in Alabama (2021) and Montenegro (2018), often from excess groundwater or decay. Nature's quirky plumbing!",100.0,,,1.9479736585736973e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920524991180775527,True,,"BREAKING: 🇵🇰🇮🇳 Pakistan launches drone attack on India, explosions reported at India's Jammu Airport.",@stats_feed @grok is this true,"The claim about Pakistan launching a drone attack on Jammu Airport on May 8, 2025, appears supported by reports from BBC, Reuters, and The Guardian, confirming explosions and drone activity. However, both India and Pakistan accuse each other of drone attacks, with Pakistan claiming it downed 25 Indian drones. This mutual blame complicates verification. The situation reflects ongoing tensions, especially after a recent Kashmir attack. While evidence leans toward the attack occurring, conflicting narratives from both sides suggest caution in drawing firm conclusions.",60.0,,,,1.920524991180776e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926640152937451696,False,,"BIG NEWS 🚨 Ukrainian President Zelensky says he is ready to end the war with Russia and cede territory.

He said ""I am willing to give up Ukrainian territory over to Russia, if NATO accepts Ukraine as member"" 

""I just want to regain the almost one-fifth of his country that Russia's army has seized, if such a deal could offer security for the rest of Ukraine"" 

- ZELENSKY said this before Donald Trump's swearing in",@TimesAlgebraIND @grok is this true? Is Ukraine ready to give up territory?,"Ukraine is not ready to permanently give up territory to Russia. In November 2024, President Zelensky proposed NATO membership for controlled territories to end active fighting, but emphasized regaining occupied areas diplomatically. By March 2025, he rejected territorial concessions, insisting on Russian withdrawal. Ukraine's constitution and public opinion oppose ceding land, and NATO supports its territorial integrity. While the 2024 proposal suggested flexibility, later statements clarify no permanent loss is acceptable. The issue remains debated, with geopolitical pressures at play.",20.0,,,,,1.926640152937452e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957705400540643784,Uncertain,,"Used wind turbine blades, piled in a field because they can’t be recycled.

This is not “renewable” energy.  It’s not “rebuildable” energy either.

This is absolutely not environmentalism. https://t.co/9M7Uu0SFKL",@Resist_CBDC Hi @grok is it true that turbine blades can’t be recycled?,"Wind turbine blades, made of tough composites like fiberglass, are challenging to recycle and often end up in landfills. However, new technologies like chemical recycling are emerging, and industry pledges (e.g., WindEurope's 2025 ban on landfilling) aim for full recyclability. Progress is being made!",60.0,,,,,,1.957705400540644e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921039921092915300,Uncertain,,"الجزیرہ نیوز کے مطابق انڈیا کا ائرن ڈوم ڈیفنس سسٹم پاکستانی میزائل کو روکنے سے مکمل طور پر ناکام رہا ھے، 

پاکستان کے تمام میزائل اپنے اہداف کو کامیابی سے نشانہ بنا رھے ہیں۔
#OperationBunyanulMarsoos #PakistanArmy #sindoor #PakistanZindabad #PakistanIndiaWar https://t.co/VFNcJC0yRh",@TalalChandio @grok verify this video and claim,"I cannot verify the video or claim about India's air defense failing. India does not use the Iron Dome; it relies on systems like S-400 and Akash. Pakistani sources claim successful strikes on Indian targets during Operation Bunyanul Marsoos, but Indian reports suggest their defenses countered attacks. The video's context is unclear, and Al Jazeera does not confirm the claim. Independent verification is needed due to conflicting reports.",50.0,,,,,,,1.9210399210929152e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937574772591784172,Invalid,,I have chosen #GromitMug what will your choice be?,@StoneConsumer_ @grok is this true?,"Yes, @StoneConsumer_'s claim of choosing  appears true. It's part of a social media trend where users pick between , a real mug shaped like Gromit from Wallace and Gromit, and . The trend involves posting preferences, not necessarily owning the mug. Recent X posts from June 2025 confirm its ongoing popularity, with users like @RustyBud_ also choosing . While ""choosing"" could imply ownership, the context suggests it's about joining the trend.",70.0,,,,,,,,1.937574772591784e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923069605339103287,False,,"ماڈل اور اداکارہ نادیہ حسین آپریشن بنيان مرصوص کے دوران پاک فوج اور آپریشن کو سوشل میڈیا پر سپورٹ کرنے کے اعزاز میں ایوارڈ وصول کرتے ہوئے۔

اس حساب سے تو پوری قوم اس ایوارڈ کی مستحق ہے۔ سب ہی نے بڑھ چڑھ کر دشمن کے خلاف کارروائی کو سپورٹ کیا۔ 👍 https://t.co/7DdDo0l7Ny",@MaleehaHashmey @grok is this true?,"The claim that Nadia Hussain received an award for supporting Operation Bunyan Marsoos on social media lacks credible evidence. While the operation is real and some celebrities did express support, there’s no verified record of Nadia receiving such an honor. 

- The only source is a single X post, which isn’t enough to confirm the claim.
- No official reports or news outlets mention this award, and ""Brotherhood"" isn’t a recognized awarding body in Pakistan.
- Without more solid proof, this seems unverified at best, possibly false.

I remain skeptical of unconfirmed claims, especially those tied to military actions, as they can be easily exaggerated or fabricated. More evidence is needed for clarity.",20.0,,,,,,,,,1.9230696053391032e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
